#data counter step time
0 1 3 3
0 2 6 78
0 3 9 193
0 4 12 317
0 5 15 331
1 6 19 661
1 7 23 752
0 8 25 785
0 9 28 857
0 10 31 978
0 11 33 985
0 12 40 1190
1 13 42 1311
1 14 44 1389
1 15 48 1451
1 16 52 1682
1 17 54 1744
1 18 56 1760
1 19 58 1867
1 20 61 1967
0 21 63 2074
0 22 66 2222
0 23 70 2411
0 24 74 2521
0 25 76 2599
0 26 79 2656
0 27 82 2695
0 28 84 2715
0 29 87 2743
0 30 90 2766
1 31 95 3076
1 32 97 3098
1 33 100 3230
0 34 105 3399
1 35 111 3832
1 36 114 3904
1 37 116 3922
1 38 121 4082
1 39 128 4194
1 40 134 4437
1 41 139 4578
1 42 141 4599
1 43 144 4682
1 44 146 4707
1 45 149 4789
1 46 151 4802
1 47 153 4812
1 48 159 5106
1 49 161 5167
1 50 169 5376
1 51 171 5377
1 52 175 5717
1 53 179 5778
1 54 181 5783
1 55 183 5892
1 56 188 6104
1 57 190 6228
1 58 193 6282
1 59 195 6301
1 60 197 6342
1 61 205 6557
1 62 207 6577
1 63 209 6632
1 64 213 6928
1 65 215 6929
1 66 220 7228
1 67 222 7367
1 68 224 7387
1 69 226 7428
1 70 229 7501
1 71 231 7593
1 72 233 7594
1 73 235 7697
1 74 240 7815
1 75 243 7924
1 76 246 7930
1 77 249 8054
1 78 251 8063
1 79 255 8286
1 80 257 8324
1 81 259 8485
1 82 262 8542
1 83 267 8702
1 84 269 8726
1 85 272 8815
1 86 274 8861
1 87 276 8997
1 88 279 9124
1 89 283 9312
1 90 287 9485
1 91 289 9500
1 92 291 9505
1 93 294 9848
1 94 296 9903
1 95 298 10100
1 96 300 10118
1 97 303 10256
1 98 309 10528
1 99 311 10529
1 100 314 10557
1 101 316 10578
1 102 318 10585
1 103 320 10605
1 104 322 10724
1 105 324 10732
1 106 326 10753
1 107 330 10864
1 108 332 10931
1 109 334 10944
1 110 336 10967
1 111 340 11049
1 112 346 11221
1 113 348 11234
1 114 352 11312
1 115 354 11335
1 116 357 11456
1 117 359 11481
1 118 361 11506
1 119 364 11564
1 120 369 11806
1 121 373 11920
1 122 375 11958
1 123 377 12153
1 124 379 12156
1 125 381 12169
1 126 387 12314
1 127 389 12347
1 128 391 12502
1 129 395 12605
1 130 400 12623
1 131 404 12702
1 132 409 12863
1 133 412 12989
1 134 415 13053
1 135 421 13275
1 136 423 13315
1 137 425 13402
1 138 427 13572
1 139 430 13631
1 140 432 13679
1 141 436 13903
1 142 438 13931
1 143 440 13973
1 144 443 14031
1 145 445 14159
1 146 447 14192
1 147 450 14246
1 148 452 14270
1 149 454 14295
1 150 456 14349
1 151 459 14395
1 152 464 14753
1 153 468 14943
1 154 471 15199
1 155 478 15327
1 156 482 15413
1 157 484 15416
1 158 487 15457
1 159 490 15712
1 160 492 15728
1 161 494 15755
1 162 497 15795
1 163 499 15894
1 164 501 15981
1 165 503 15983
1 166 511 16418
1 167 516 16785
1 168 519 16808
1 169 523 16960
1 170 527 17117
1 171 534 17353
1 172 537 17382
1 173 539 17419
1 174 546 17581
1 175 548 17689
1 176 550 17727
1 177 553 17836
1 178 557 18040
1 179 561 18170
1 180 563 18219
1 181 568 18499
1 182 571 18515
1 183 574 18606
1 184 577 18698
1 185 579 18699
1 186 582 18864
1 187 586 18980
1 188 588 19025
1 189 590 19212
1 190 595 19355
1 191 597 19411
1 192 599 19503
1 193 602 19565
1 194 604 19597
1 195 606 19658
1 196 608 19823
1 197 610 19827
1 198 612 19976
1 199 616 20137
1 200 618 20140
1 201 620 20149
1 202 622 20167
1 203 625 20266
1 204 627 20365
1 205 631 20513
1 206 636 20742
1 207 638 20787
1 208 642 20847
1 209 644 20847
1 210 646 20860
1 211 648 20921
1 212 651 20976
1 213 653 21057
1 214 655 21103
1 215 657 21137
1 216 659 21175
1 217 661 21177
1 218 663 21188
1 219 665 21327
1 220 668 21415
1 221 670 21473
1 222 673 21556
1 223 676 21604
1 224 680 21670
1 225 682 21684
1 226 684 21693
1 227 686 21695
1 228 690 22027
1 229 695 22106
1 230 697 22187
1 231 704 22432
1 232 706 22520
1 233 708 22538
1 234 712 22663
1 235 717 22991
1 236 719 23005
1 237 721 23075
1 238 724 23101
1 239 727 23153
1 240 730 23329
1 241 735 23497
1 242 738 23808
1 243 748 24300
1 244 752 24388
1 245 756 24427
1 246 758 24469
1 247 763 24636
1 248 766 24758
1 249 769 24981
