#data counter step time
0 1 3 3
0 2 6 78
103 3 9 193
17 4 12 317
0 5 15 331
224 6 19 661
214 7 23 752
87 8 25 785
107 9 28 857
174 10 31 978
14 11 33 985
182 12 40 1190
301 13 42 1311
373 14 44 1389
414 15 48 1451
556 16 52 1682
331 17 54 1744
311 18 56 1760
369 19 58 1867
289 20 61 1967
199 21 63 2074
113 22 66 2222
186 23 70 2411
192 24 74 2521
176 25 76 2599
136 26 79 2656
57 27 82 2695
32 28 84 2715
23 29 87 2743
20 30 90 2766
201 31 95 3076
201 32 97 3098
209 33 100 3230
188 34 105 3399
502 35 111 3832
556 36 114 3904
530 37 116 3922
634 38 121 4082
582 39 128 4194
763 40 134 4437
832 41 139 4578
750 42 141 4599
722 43 144 4682
663 44 146 4707
725 45 149 4789
696 46 151 4802
693 47 153 4812
977 48 159 5106
1036 49 161 5167
1203 50 169 5376
1171 51 171 5377
1469 52 175 5717
1483 53 179 5778
1409 54 181 5783
1411 55 183 5892
1600 56 188 6104
1675 57 190 6228
1636 58 193 6282
1530 59 195 6301
1383 60 197 6342
1582 61 205 6557
1493 62 207 6577
1545 63 209 6632
1725 64 213 6928
1668 65 215 6929
1964 66 220 7228
2086 67 222 7367
2082 68 224 7387
2114 69 226 7428
2071 70 229 7501
2065 71 231 7593
1854 72 233 7594
1938 73 235 7697
1806 74 240 7815
1869 75 243 7924
1834 76 246 7930
1817 77 249 8054
1683 78 251 8063
1870 79 255 8286
1850 80 257 8324
2002 81 259 8485
2011 82 262 8542
2159 83 267 8702
2014 84 269 8726
1931 85 272 8815
1882 86 274 8861
1972 87 276 8997
2028 88 279 9124
1855 89 283 9312
1781 90 287 9485
1760 91 289 9500
1752 92 291 9505
1994 93 294 9848
1977 94 296 9903
2081 95 298 10100
2041 96 300 10118
2060 97 303 10256
2039 98 309 10528
1955 99 311 10529
1982 100 314 10557
1953 101 316 10578
1777 102 318 10585
1579 103 320 10605
1577 104 322 10724
1528 105 324 10732
1380 106 326 10753
1468 107 330 10864
1138 108 332 10931
807 109 334 10944
692 110 336 10967
769 111 340 11049
859 112 346 11221
843 113 348 11234
775 114 352 11312
517 115 354 11335
621 116 357 11456
475 117 359 11481
470 118 361 11506
504 119 364 11564
743 120 369 11806
757 121 373 11920
761 122 375 11958
893 123 377 12153
868 124 379 12156
754 125 381 12169
800 126 387 12314
703 127 389 12347
735 128 391 12502
808 129 395 12605
808 130 400 12623
881 131 404 12702
637 132 409 12863
745 133 412 12989
783 134 415 13053
996 135 421 13275
797 136 423 13315
867 137 425 13402
958 138 427 13572
1017 139 430 13631
1056 140 432 13679
1262 141 436 13903
1250 142 438 13931
1226 143 440 13973
1233 144 443 14031
1335 145 445 14159
1203 146 447 14192
1243 147 450 14246
1153 148 452 14270
1046 149 454 14295
1094 150 456 14349
1135 151 459 14395
1128 152 464 14753
1199 153 468 14943
1400 154 471 15199
1316 155 478 15327
1193 156 482 15413
1026 157 484 15416
1056 158 487 15457
1015 159 490 15712
1022 160 492 15728
935 161 494 15755
891 162 497 15795
744 163 499 15894
766 164 501 15981
767 165 503 15983
1175 166 511 16418
1518 167 516 16785
1482 168 519 16808
1629 169 523 16960
1785 170 527 17117
1906 171 534 17353
1710 172 537 17382
1654 173 539 17419
1597 174 546 17581
1684 175 548 17689
1638 176 550 17727
1704 177 553 17836
1690 178 557 18040
1768 179 561 18170
1794 180 563 18219
1967 181 568 18499
1838 182 571 18515
1820 183 574 18606
1826 184 577 18698
1802 185 579 18699
1853 186 582 18864
1953 187 586 18980
1885 188 588 19025
2064 189 590 19212
2127 190 595 19355
2175 191 597 19411
2194 192 599 19503
2211 193 602 19565
2130 194 604 19597
2155 195 606 19658
2274 196 608 19823
2270 197 610 19827
2419 198 612 19976
2372 199 616 20137
2231 200 618 20140
2224 201 620 20149
2072 202 622 20167
2163 203 625 20266
1997 204 627 20365
2130 205 631 20513
2325 206 636 20742
2273 207 638 20787
2323 208 642 20847
2190 209 644 20847
2093 210 646 20860
1982 211 648 20921
2017 212 651 20976
1827 213 653 21057
1789 214 655 21103
1795 215 657 21137
1630 216 659 21175
1116 217 661 21177
1076 218 663 21188
1068 219 665 21327
1033 220 668 21415
961 221 670 21473
922 222 673 21556
967 223 676 21604
957 224 680 21670
896 225 682 21684
890 226 684 21693
752 227 686 21695
634 228 690 22027
577 229 695 22106
629 230 697 22187
819 231 704 22432
876 232 706 22520
689 233 708 22538
728 234 712 22663
934 235 717 22991
940 236 719 23005
976 237 721 23075
876 238 724 23101
883 239 727 23153
1002 240 730 23329
1135 241 735 23497
1403 242 738 23808
1755 243 748 24300
1834 244 752 24388
1734 245 756 24427
1711 246 758 24469
1729 247 763 24636
1674 248 766 24758
1869 249 769 24981
