#data counter step time
0.000000 1 3 3
0.000000 2 6 78
103.000000 3 9 193
17.000000 4 12 317
0.000000 5 15 331
224.000000 6 19 661
214.000000 7 23 752
87.000000 8 25 785
107.000000 9 28 857
174.000000 10 31 978
14.000000 11 33 985
182.000000 12 40 1190
301.000000 13 42 1311
373.000000 14 44 1389
414.000000 15 48 1451
556.000000 16 52 1682
331.000000 17 54 1744
311.000000 18 56 1760
369.000000 19 58 1867
289.000000 20 61 1967
199.000000 21 63 2074
113.000000 22 66 2222
186.000000 23 70 2411
192.000000 24 74 2521
176.000000 25 76 2599
136.000000 26 79 2656
57.000000 27 82 2695
32.000000 28 84 2715
23.000000 29 87 2743
20.000000 30 90 2766
201.000000 31 95 3076
201.000000 32 97 3098
209.000000 33 100 3230
188.000000 34 105 3399
502.000000 35 111 3832
556.000000 36 114 3904
530.000000 37 116 3922
634.000000 38 121 4082
582.000000 39 128 4194
763.000000 40 134 4437
832.000000 41 139 4578
750.000000 42 141 4599
722.000000 43 144 4682
663.000000 44 146 4707
725.000000 45 149 4789
696.000000 46 151 4802
693.000000 47 153 4812
977.000000 48 159 5106
1036.000000 49 161 5167
1203.000000 50 169 5376
1171.000000 51 171 5377
1469.000000 52 175 5717
1483.000000 53 179 5778
1409.000000 54 181 5783
1411.000000 55 183 5892
1600.000000 56 188 6104
1675.000000 57 190 6228
1636.000000 58 193 6282
1530.000000 59 195 6301
1383.000000 60 197 6342
1582.000000 61 205 6557
1493.000000 62 207 6577
1545.000000 63 209 6632
1725.000000 64 213 6928
1668.000000 65 215 6929
1964.000000 66 220 7228
2086.000000 67 222 7367
2082.000000 68 224 7387
2114.000000 69 226 7428
2071.000000 70 229 7501
2065.000000 71 231 7593
1854.000000 72 233 7594
1938.000000 73 235 7697
1806.000000 74 240 7815
1869.000000 75 243 7924
1834.000000 76 246 7930
1817.000000 77 249 8054
1683.000000 78 251 8063
1870.000000 79 255 8286
1850.000000 80 257 8324
2002.000000 81 259 8485
2011.000000 82 262 8542
2159.000000 83 267 8702
2014.000000 84 269 8726
1931.000000 85 272 8815
1882.000000 86 274 8861
1972.000000 87 276 8997
2028.000000 88 279 9124
1855.000000 89 283 9312
1781.000000 90 287 9485
1760.000000 91 289 9500
1752.000000 92 291 9505
1994.000000 93 294 9848
1977.000000 94 296 9903
2081.000000 95 298 10100
2041.000000 96 300 10118
2060.000000 97 303 10256
